BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,3.00,AD,100.00,300.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,10.00,AD,80.00,800.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000003,06.01.2026,1030000007,ICRO LAKE MAT GOFRATO ANTRASİT RAL7016,150.00,KG,224.95,"33,742.80",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,EV00000812,KURU PATİNE,4.00,TNK,"4,860.00","19,440.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,MHT0000008,MUHTELİF BOYA,4.00,TNK,"5,670.00","22,680.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,MHT0000022,MUHTELİF BOYAHANE SARF MALZEME,5.00,TNK,918.00,"4,590.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00000668,SELÜLOZİK BAKIR BOYA,6.00,TNK,"4,200.00","25,200.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00000688,BOYA SÜZGECİ,20.00,AD,41.67,833.33,YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00000819,MDF ASTAR BEYAZ TK.,10.00,TK,"1,890.00","18,900.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00001371,RAL 7022 POLİÜRETAN MAT BOYA + SERTLEŞTİRİCİSİ İLE BİRLİKTE (TAKIM),4.00,TK,"5,490.00","21,960.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00001450,FİLLİ BEYAZ FON ASTAR TAKIM (12KG+3KG SERT),6.00,TK,"1,928.50","11,571.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00001451,FİLLİ SİYAH FON ASTAR TAKIM (12KG+3KG SERT),4.00,TK,"2,094.75","8,379.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00006072,SÜNGER ZIMPARA 180 KUM,6.00,AD,916.67,"5,500.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000006,06.01.2026,EV00005164,MUHTELİF KUMAŞ,3.00,MT,366.42,"1,099.26",DOKUMOD TEKSTİL LTD.ŞTİ.
000000000000008,06.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,"5,532.87","5,532.87",ALTERNATİF STATİK TOZ BOYA SAN. VE TİC.LTD.ŞTİ.
000000000000013,06.01.2026,EV00001041,DURAK TEKSTİL POLY 3 KAT İPLİK,21.00,AD,121.07,"2,542.51",DURAT TEKSTİL DEK. MOB. ÜRT. İNŞ. AKS. SAN. TİC. LTD. ŞTİ.
000000000000013,06.01.2026,EV00001180,DURAK TEKSTİL POLY 6 KAT İPLİK 020,24.00,AD,121.07,"2,905.73",DURAT TEKSTİL DEK. MOB. ÜRT. İNŞ. AKS. SAN. TİC. LTD. ŞTİ.
000000000000057,06.01.2026,EV00001097,FERMUAR SİYAH,3.00,TOP,515.00,"1,545.00",YAVUZ SÜNGER A.Ş.
000000000000057,06.01.2026,EV00001224,"RULO D14 SÜNGER 160LIK 1,3CM BEYAZ",6.00,RULO,"2,457.00","14,742.00",YAVUZ SÜNGER A.Ş.
000000000000057,06.01.2026,EV00001246,ELASTİK BEZ KOLON 5CM EKO,"5,000.00",MT,5.25,"26,250.00",YAVUZ SÜNGER A.Ş.
000000000000137,06.01.2026,OF00001455,GAZLI PİSTON N:40,10.00,AD,54.00,540.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000300,06.01.2026,OF00001388,3000*1500*8MM HRP SAC,13.00,PLK,"8,327.65","108,259.40",BİLGİN DEMİR ÇELİK A.Ş.
000000000000300,06.01.2026,OF00001446,"16*1,5mm DKP BORU PROFİL",10.00,BOY,122.81,"1,228.12",BİLGİN DEMİR ÇELİK A.Ş.
000000000000006,07.01.2026,7000008297,OKUMA LAMBASI,80.00,AD,688.70,"55,095.94",LAMPART MODERN AYDINLATMA SAN.VE TİC.LTD.ŞTİ.
000000000000009,07.01.2026,MHT0000017,MUHTELİF METAL İMALATI,300.00,AD,50.00,"15,000.00",KOORDİNAT MAKİNA SAVUNMA SAN.İTH.İHR.TİC.LTD.ŞTİ.
000000000000009,07.01.2026,OF00002002,TORNA İŞÇİLİĞİ,750.00,AD,55.00,"41,250.00",KOORDİNAT MAKİNA SAVUNMA SAN.İTH.İHR.TİC.LTD.ŞTİ.
000000000000014,07.01.2026,OF00001378,"CNC JİLET (TIGRA HM:29,5x12x1,5 T03SMG 4KENAR KESKİN UÇ)",2.00,AD,"1,967.65","3,935.30",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000014,07.01.2026,OF00006056,"CNC JİLET (TIGRA HM:49,5x12x1,5 T03SMG 4KENAR KESKİN UC)",3.00,AD,"2,018.10","6,054.30",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000014,07.01.2026,OF00006541,"CNC JİLET (TIGRA HM:50x12x1,7 T03SMG 4KENAR KESKİN UC)",3.00,AD,"2,749.67","8,249.01",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000014,07.01.2026,OF00006542,"CNC JİLET (TIGRA HM:7,5*12*1,5 T03SMG 2KENAR KESKİN UC)",2.00,AD,832.47,"1,664.94",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000032,07.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,650.00,650.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000032,07.01.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,AD,50.00,100.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000032,07.01.2026,OF00006543,KAYNAK MASKESİ ÖN ŞEFFAF CAMI 110*90,40.00,AD,6.00,240.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000032,07.01.2026,OF00006543,KAYNAK MASKESİ ÖN ŞEFFAF CAMI 110*90,20.00,AD,15.00,300.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000138,07.01.2026,EV00000196,HAM MDF 2100*2800*18MM,55.00,AD,"1,347.09","74,089.72",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000148,07.01.2026,MKN00000002,FAB.GENEL MAKİNA BAKIM SARF MAL.(BOYAHANE BÖLÜMÜ),1.00,AD,"3,679.72","3,679.72",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000153,07.01.2026,MKN00000003,FAB.GENEL MAKİNA BAKIM SARF MAL.(ELEKTRİKLİ EL ALETLERİ),1.00,AD,770.00,770.00,TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000388,07.01.2026,OF00005027,AŞANTEKS VENEDİK,4.00,MT,140.32,561.29,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000388,07.01.2026,OF00005028,AŞANTEKS HERA,10.00,MT,184.15,"1,841.50",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000001955,07.01.2026,MHT0000006,MUHTELİF METAL BORU PROFİL,1.00,BOY,"3,256.57","3,256.57",KUMSAL PASLANMAZ ÇELİK METAL SAN.VE TİC.LTD.ŞTİ.
000000000001955,07.01.2026,OF00003016,"Ø21x1,5 MM PASLANMAZ BORU SATİNE YÜZEY",3.00,BOY,689.54,"2,068.61",KUMSAL PASLANMAZ ÇELİK METAL SAN.VE TİC.LTD.ŞTİ.
000000000001955,07.01.2026,OF00004021,Ø32X1.5 MM PASLANMAZ BORU SATİNE YÜZEY,3.00,BOY,950.37,"2,851.12",KUMSAL PASLANMAZ ÇELİK METAL SAN.VE TİC.LTD.ŞTİ.
000000000000063,08.01.2026,OF00000916,AHŞAP TEMİZLİK SOLVENTİ,200.00,KG,71.04,"14,207.06",TEMPA KİMYA VE GIDA SAN.TİC.LTD.ŞTİ
000000000000098,08.01.2026,5500000036,ÖZEL KABLOSUZ ŞARJ CİHAZI-BEYAZ,1.00,AD,709.87,709.87,BUTON LED AYDINLATMA MOBİLYA VE AKS.SAN.TİC.LTD.ŞTİ.
000000000000098,08.01.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,2.00,AD,765.80,"1,531.61",BUTON LED AYDINLATMA MOBİLYA VE AKS.SAN.TİC.LTD.ŞTİ.
000000000000099,08.01.2026,PRJ0001278,ESNEK EMİCİ HORTUM,10.00,MT,470.00,"4,700.00",BAŞKENT HORTUM HİDROLİK REKOR İTH. İHR. SAN. VE TİC.LTD.ŞTİ.
000000000000202,08.01.2026,EV00000832,HAM MDF 2100*2800*12MM,50.00,AD,994.80,"49,740.10",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000202,08.01.2026,MHT0000002,MUHTELİF MDFLAM,5.00,AD,"1,785.80","8,929.01",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000202,08.01.2026,MHT0000002,MUHTELİF MDFLAM,8.00,AD,"1,879.79","15,038.35",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000351,08.01.2026,OF00006303,2000*3000*4mm BRONZ PLEKSİ (AKPOLİMER 2220),1.00,AD,"2,791.67","2,791.67",ROTEKSMAT REKLAM TEKS.ÜRÜN.TİC.LTD.ŞTİ.
000000000000568,08.01.2026,OF00005047,AŞANTEKS VIVA,26.00,MT,213.35,"5,547.19",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000771,08.01.2026,OF00005092,GÜNDER ELEGENT,4.50,MT,212.16,954.72,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000797,08.01.2026,OF00005094,GÜNDER AREL,17.00,MT,280.35,"4,765.95",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000797,08.01.2026,OF00005095,GÜNDER LARA,3.00,MT,157.22,471.66,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000001193,08.01.2026,OF00001350,HAFELE ALÜMİNYUM 110° TAM DEVE KAPAK MENTEŞE (312.21.502),124.00,AD,78.09,"9,683.66",HAFELE MOBİLYA VE İNŞAAT DONANIMLARI SAN.VE TİC.A.Ş.
000000000001193,08.01.2026,OF00006234,HAFELE ALÜMINYUM MENTEŞE TABANI AVRUPA VİDALI (312.30.523),124.00,AD,13.09,"1,623.62",HAFELE MOBİLYA VE İNŞAAT DONANIMLARI SAN.VE TİC.A.Ş.
000000000000002,09.01.2026,MHT0000020,MUHTELİF KESİCİ DELİCİ MALZEME (MATKAP-BIÇAK VS),1.00,AD,"2,250.00","2,250.00",AYEKS MAK.END.KES.TAK.PAZ.SAN.TİC.LTDİ.ŞTİ.
000000000000008,09.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,"1,500.00","1,500.00",PINAR GRUP TEKNİK HOR. SU MALZ. İNŞ. SAN. VE TİC.LTD.ŞTİ.
000000000000039,09.01.2026,MHT0000046,MUHTELİF DÖŞEMEHANE SARF MAZLEME,200.00,MT,7.00,"1,400.00",ISISAN PLASTİK SAN. VE TİC.LTD.ŞTİ.
000000000000039,09.01.2026,MHT0000046,MUHTELİF DÖŞEMEHANE SARF MAZLEME,150.00,MT,8.90,"1,335.00",ISISAN PLASTİK SAN. VE TİC.LTD.ŞTİ.
000000000000041,09.01.2026,OF00000577,5*5 L PROFİL KÖŞEBENT (KÖPÜK),"7,500.00",MT,3.30,"24,750.00",TERMO YALITIM MAKİNA VE ÜRÜN SAN.TİC.LTD.ŞTİ.
000000000000041,09.01.2026,OF00000578,7*7 L PROFİL KÖŞEBENT (KÖPÜK),"3,000.00",MT,3.30,"9,900.00",TERMO YALITIM MAKİNA VE ÜRÜN SAN.TİC.LTD.ŞTİ.
000000000000041,09.01.2026,OF00001111,5*5 U PROFİL  KÖŞEBENT (KÖPÜK),"1,560.00",MT,7.26,"11,325.60",TERMO YALITIM MAKİNA VE ÜRÜN SAN.TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000010,MUHTELİF CAM,1.00,AD,165.00,165.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,4.00,AD,"1,145.00","4,580.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,8.00,AD,462.00,"3,696.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,2.00,AD,"1,540.00","3,080.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,1.00,AD,"1,690.00","1,690.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,1.00,AD,670.00,670.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,1.00,AD,895.00,895.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001821,2486*750*4MM RODAJLI DÜZ AYNA,2.00,AD,"1,125.00","2,250.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001829,1198*868*4MM RODAJLI DÜZ AYNA,1.00,AD,730.00,730.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001830,1198*793*4MM RODAJLI DÜZ AYNA,2.00,AD,670.00,"1,340.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001831,2270*780*4MM RODAJLI DÜZ AYNA,1.00,AD,"1,240.00","1,240.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001832,2270*985*4MM RODAJLI DÜZ AYNA,1.00,AD,"1,565.00","1,565.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000115,09.01.2026,EV00005164,MUHTELİF KUMAŞ,25.00,MT,251.92,"6,298.08",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000000115,09.01.2026,EV00005164,MUHTELİF KUMAŞ,5.00,MT,215.32,"1,076.60",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000000115,09.01.2026,EV00005164,MUHTELİF KUMAŞ,5.00,MT,215.32,"1,076.60",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000000115,09.01.2026,OF00005065,GÜNDER GÖKTUĞ,14.00,MT,262.19,"3,670.64",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000000261,09.01.2026,EV00000102,ÇAĞBERK SOFT HIZ AYARLI YAVAŞLATICI  SET  0017 GRİ,10.00,AD,390.00,"3,900.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000261,09.01.2026,EV00000395,"3,5*50mm SUNTA VİDASI","5,000.00",AD,0.32,"1,600.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000261,09.01.2026,OF00000575,OKYANUS PASİFİK YAPIŞKANLI MINIFIX TAPASI Ø18mm ANTRASİT PC 2546,"1,600.00",AD,0.18,288.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000261,09.01.2026,OF00000615,YAPIŞKANLI KEÇE ZEMİN KORUYUCUSU Ø40mm KAHVERENGİ,600.00,AD,0.79,475.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000002,12.01.2026,1023000019,AKSESUAR POŞETİ 30*50,10.00,KG,120.00,"1,200.00",SELİM CAN GÜRSU – BERAPAK AMBALAJ TEMİZLİK ÜRÜNLERİ
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,50.00,100.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,60.00,120.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,AD,48.00,192.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,40.00,AD,250.00,"10,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,80.00,AD,250.00,"20,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,350.00,700.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,AD,350.00,350.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,300.00,600.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,AD,300.00,300.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,AD,100.00,800.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,40.00,AD,150.00,"6,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,AD,120.00,960.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
